orig_name,dest_name,d_time,d_dur_traf,d_dist,t_time,t_dist,t_fare
University District,Colman Dock,943,1183,8649,1882.0,8694.0,2.75
University District,South Lake Union,514,764,5367,1630.0,5148.0,2.75
Ballard,North Greenwood,599,612,4735,1319.0,5044.0,2.75
Ballard,Oaktree,796,805,5599,1373.0,5925.0,2.75
Ballard,Roosevelt,981,1022,6779,2896.0,8233.0,2.75
Ballard,Husky Stadium,1274,1361,8823,2979.0,16282.0,5.5
Ballard,Interbay,655,755,5304,2097.0,5543.0,2.75
Ballard,Denny,1479,1732,15229,3317.0,13689.0,2.75
Ballard,Westlake,943,1036,8449,1709.0,7456.0,2.75
Ballard,King Street Station,1431,1721,14639,2437.0,11368.0,2.75
Ballard,Colman Dock,1338,1574,10654,2372.0,10921.0,2.75
Ballard,South Lake Union,1178,1406,10557,2167.0,8796.0,2.75
Fremont,North Greenwood,735,746,6357,1109.0,5567.0,2.75
Fremont,Oaktree,721,712,6423,1730.0,6013.0,2.75
Fremont,Roosevelt,712,714,4709,1843.0,6723.0,2.75
Fremont,Husky Stadium,641,663,4051,1805.0,5598.0,2.75
Fremont,Interbay,631,639,5357,1553.0,6258.0,2.75
Fremont,Denny,861,1067,9705,2150.0,9697.0,2.75
Fremont,Westlake,325,387,2925,808.0,2819.0,2.75
Fremont,King Street Station,813,1059,9116,1990.0,6974.0,2.75
Fremont,Colman Dock,821,1090,9372,1858.0,6528.0,2.75
Fremont,South Lake Union,638,688,3819,1376.0,4122.0,2.75
Campus Parkway,North Greenwood,843,872,7525,2370.0,8577.0,2.75
Campus Parkway,Oaktree,742,766,6941,2133.0,8555.0,2.75
Campus Parkway,Roosevelt,512,493,2564,872.0,3117.0,2.75
Campus Parkway,Husky Stadium,325,323,1316,548.0,1499.0,2.75
Campus Parkway,Interbay,1135,1147,8314,1848.0,9229.0,2.75
Campus Parkway,Denny,962,1185,11926,2251.0,10840.0,2.75
Campus Parkway,Westlake,797,792,5803,1573.0,5771.0,2.75
Campus Parkway,King Street Station,942,1152,8850,2039.0,8892.0,2.75
Campus Parkway,Colman Dock,1002,1257,8977,1889.0,8382.0,2.75
Campus Parkway,South Lake Union,474,696,4939,1232.0,4088.0,2.75
Northgate,North Greenwood,498,466,3125,1453.0,3210.0,2.75
Northgate,Oaktree,322,294,1939,1111.0,2020.0,2.75
Northgate,Roosevelt,425,485,4902,991.0,3944.0,2.75
Northgate,Husky Stadium,669,966,10478,2009.0,7923.0,2.75
Northgate,Interbay,1376,1455,10804,3619.0,20296.0,2.75
Northgate,Denny,1002,1408,17137,2938.0,16932.0,2.75
Northgate,Westlake,970,1024,10774,2814.0,15576.0,2.75
Northgate,King Street Station,982,1375,14061,2147.0,14761.0,2.75
Northgate,Colman Dock,1042,1461,14188,2279.0,14550.0,2.75
Northgate,South Lake Union,613,1060,10906,2456.0,10473.0,2.75
Broadview,North Greenwood,419,427,3260,1487.0,3280.0,2.75
Broadview,Oaktree,537,525,3838,2123.0,3944.0,2.75
Broadview,Roosevelt,796,869,9388,3496.0,8790.0,2.75
Broadview,Husky Stadium,1041,1345,14964,4349.0,11924.0,2.75
Broadview,Interbay,1106,1219,10242,4247.0,15278.0,2.75
Broadview,Denny,1373,1789,21623,4938.0,18754.0,2.75
Broadview,Westlake,1215,1292,11877,3140.0,11512.0,2.75
Broadview,King Street Station,1353,1757,18546,4202.0,15680.0,2.75
Broadview,Colman Dock,1414,1843,18674,4233.0,15510.0,2.75
Broadview,South Lake Union,948,1164,15406,4434.0,19364.0,2.75
Crown Hill,North Greenwood,292,290,1740,870.0,2263.0,2.75
Crown Hill,Oaktree,459,451,2808,928.0,3145.0,2.75
Crown Hill,Roosevelt,782,916,5731,2135.0,6302.0,2.75
Crown Hill,Husky Stadium,1321,1402,9610,2988.0,9436.0,2.75
Crown Hill,Interbay,794,902,6836,2092.0,6887.0,2.75
Crown Hill,Denny,1524,1748,16260,3923.0,15732.0,5.5
Crown Hill,Westlake,988,1053,9480,2307.0,10221.0,2.75
Crown Hill,King Street Station,1476,1738,15671,3082.0,12995.0,2.75
Crown Hill,Colman Dock,1477,1725,12185,3073.0,12698.0,2.75
Crown Hill,South Lake Union,1223,1423,11589,2765.0,11561.0,2.75
Greenwood,North Greenwood,89,89,516,440.0,520.0,0.0
Greenwood,Oaktree,320,317,1681,1068.0,1689.0,2.75
Greenwood,Roosevelt,616,741,4688,1945.0,5368.0,2.75
Greenwood,Husky Stadium,860,1218,10263,2798.0,8502.0,2.75
Greenwood,Interbay,964,1067,8613,2886.0,9555.0,2.75
Greenwood,Denny,1397,1626,15167,3497.0,14531.0,2.75
Greenwood,Westlake,861,930,8387,2012.0,8041.0,2.75
Greenwood,King Street Station,1173,1628,13846,2967.0,12916.0,2.75
Greenwood,Colman Dock,1357,1620,14834,2929.0,12646.0,2.75
Greenwood,South Lake Union,804,1312,10691,2853.0,9436.0,2.75
Lake City,North Greenwood,765,783,6680,2867.0,9470.0,2.75
Lake City,Oaktree,588,609,5494,2539.0,8280.0,2.75
Lake City,Roosevelt,571,592,5208,1706.0,6293.0,2.75
Lake City,Husky Stadium,973,1059,8144,1992.0,9763.0,2.75
Lake City,Interbay,1521,1656,13787,3986.0,20997.0,2.75
Lake City,Denny,1139,1416,17843,2747.0,17035.0,5.5
Lake City,Westlake,952,1218,12788,2467.0,16445.0,5.5
Lake City,King Street Station,1179,1606,17276,2046.0,14739.0,2.75
Lake City,Colman Dock,1239,1691,17403,1971.0,14221.0,2.75
Lake City,South Lake Union,757,977,11629,2114.0,11730.0,2.75
North Green Lake,North Greenwood,485,492,2951,1524.0,3607.0,2.75
North Green Lake,Oaktree,430,434,2499,778.0,2670.0,2.75
North Green Lake,Roosevelt,419,406,2523,1191.0,2902.0,2.75
